contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MET250516C00050000,2025-03-14 17:48:50+00:00,50.0,30.23,0.0,0.0,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00060000,2025-04-09 15:47:24+00:00,60.0,10.0,14.1,16.1,0.0,0.0,,0,0.586918193359375,True,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00062500,2025-04-21 13:48:58+00:00,62.5,9.7,11.6,13.0,0.0,0.0,5.0,4,0.6245154736328126,True,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00065000,2025-04-23 13:32:30+00:00,65.0,10.7,9.7,10.1,2.6999998,33.749996,5.0,20,0.41309180664062495,True,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00070000,2025-04-22 17:26:05+00:00,70.0,6.9,5.5,5.7,2.9,72.5,2.0,127,0.358404853515625,True,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00072500,2025-04-23 15:38:18+00:00,72.5,4.0,3.7,3.9,1.0999999,37.93103,2.0,289,0.34570966796874997,True,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00075000,2025-04-23 15:04:16+00:00,75.0,2.7,2.25,2.45,1.0500001,63.636368,41.0,993,0.33399103515625,False,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00077500,2025-04-23 15:15:01+00:00,77.5,1.35,1.15,1.35,0.55,68.75,56.0,383,0.3178779150390625,False,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00080000,2025-04-23 15:13:23+00:00,80.0,0.6,0.55,0.7,0.3,100.0,248.0,575,0.3139717041015625,False,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00082500,2025-04-23 15:22:49+00:00,82.5,0.29,0.25,0.35,0.19,146.15385,9.0,2561,0.31641308593749995,False,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00085000,2025-04-21 18:51:06+00:00,85.0,0.58,0.1,0.2,0.0,0.0,1.0,1174,0.33301448242187504,False,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00087500,2025-04-21 15:04:50+00:00,87.5,0.07,0.05,0.35,0.0,0.0,4.0,444,0.44336494140625,False,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00090000,2025-04-22 17:01:46+00:00,90.0,0.01,0.0,0.05,0.0,0.0,13.0,275,0.34766277343749996,False,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00092500,2025-04-02 19:02:53+00:00,92.5,0.25,0.0,0.05,0.0,0.0,,124,0.39063109375,False,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516C00095000,2025-04-21 16:27:52+00:00,95.0,0.06,0.0,0.2,0.0,0.0,3.0,182,0.5410202148437502,False,REGULAR,USD,MET,1,2025-05-16,2025-04-23 13:05:14.002600,74.77999877929688
MET250516P00045000,2025-04-09 19:53:49+00:00,45.0,0.25,0.0,0.75,0.0,0.0,,10,1.2070352148437498,False,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00047500,2025-04-15 18:31:59+00:00,47.5,0.38,0.0,0.6,0.0,0.0,,1,1.0488328808593752,False,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00050000,2025-04-21 13:48:32+00:00,50.0,0.13,0.0,0.6,0.0,0.0,2.0,11,0.94726615234375,False,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00055000,2025-04-17 18:57:52+00:00,55.0,0.2,0.0,0.2,0.0,0.0,1.0,34,0.6171913281250001,False,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00060000,2025-04-22 19:43:00+00:00,60.0,0.27,0.2,0.3,0.0,0.0,21.0,98,0.5546919531250001,False,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00062500,2025-04-21 17:56:16+00:00,62.5,0.95,0.3,0.45,0.0,0.0,4.0,7,0.5195360546875,False,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00065000,2025-04-21 17:51:12+00:00,65.0,1.45,0.5,0.65,0.0,0.0,22.0,597,0.5073291455078125,False,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00067500,2025-04-23 13:47:57+00:00,67.5,0.61,0.85,0.95,-0.49,-44.545452,20.0,100,0.471684970703125,False,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00070000,2025-04-23 15:40:09+00:00,70.0,1.28,1.3,1.45,-0.42000008,-24.705887,6.0,153,0.4467828759765625,False,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00072500,2025-04-23 14:36:20+00:00,72.5,1.55,2.05,2.2,-1.3500001,-46.551727,23.0,279,0.42676354492187507,False,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00075000,2025-04-23 14:55:10+00:00,75.0,2.7,3.1,3.3,-1.7,-38.636364,44.0,2451,0.4165097412109374,True,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00077500,2025-04-17 16:00:04+00:00,77.5,5.7,4.6,4.8,0.0,0.0,7.0,221,0.418951123046875,True,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00080000,2025-04-21 19:41:41+00:00,80.0,10.2,6.1,6.7,0.0,0.0,2.0,141,0.44067942138671873,True,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00082500,2025-04-04 19:21:43+00:00,82.5,14.0,8.6,9.4,0.0,0.0,5.0,152,0.5644574804687501,True,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00085000,2025-04-09 17:27:54+00:00,85.0,13.75,9.7,11.8,0.0,0.0,2.0,23,0.632816171875,True,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00087500,2025-04-04 15:29:00+00:00,87.5,17.7,12.6,14.0,0.0,0.0,5.0,31,0.5073291455078125,True,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00090000,2025-03-13 15:42:42+00:00,90.0,11.2,18.3,20.8,0.0,0.0,6.0,6,1.2163125122070313,True,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250516P00092500,2025-04-07 14:12:32+00:00,92.5,24.8,16.9,18.9,0.0,0.0,,1,0.7709983837890625,True,REGULAR,USD,MET,0,2025-05-16,2025-04-23 13:05:14.003602,74.77999877929688
MET250620C00035000,2024-12-16 05:14:52+00:00,35.0,44.2,47.3,50.5,0.0,0.0,2.0,10,3.022951661376953,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00040000,2024-12-16 05:14:52+00:00,40.0,37.15,35.0,38.4,0.0,0.0,,2,1.3793976342773435,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00045000,2025-02-03 16:43:29+00:00,45.0,40.5,36.0,39.0,0.0,0.0,1.0,5,2.0808153448486326,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00050000,2025-04-04 14:27:35+00:00,50.0,21.84,23.8,26.5,0.0,0.0,1.0,3,0.63086306640625,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00055000,2025-04-04 13:33:17+00:00,55.0,18.66,19.3,21.5,0.0,0.0,1.0,4,0.5722699023437501,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00060000,2025-04-04 16:40:13+00:00,60.0,12.08,14.6,15.8,0.0,0.0,1.0,43,0.5151415673828125,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00062500,2025-04-23 15:23:05+00:00,62.5,13.2,12.6,12.9,2.3000002,21.10092,17.0,239,0.3803772900390625,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00065000,2025-04-17 16:05:18+00:00,65.0,9.4,10.4,10.7,0.0,0.0,3.0,217,0.3640200317382813,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00067500,2025-04-21 14:04:33+00:00,67.5,6.4,8.3,9.1,0.0,0.0,31.0,265,0.4008848974609375,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00070000,2025-04-22 19:30:48+00:00,70.0,7.8,6.5,7.1,2.3000002,41.818184,4.0,723,0.370123486328125,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00072500,2025-04-22 19:19:18+00:00,72.5,5.3,4.8,5.1,1.3000002,32.500004,5.0,563,0.32642275146484373,True,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00075000,2025-04-23 15:37:06+00:00,75.0,3.8,3.4,3.6,1.1199999,41.79104,34.0,913,0.30884480224609373,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00077500,2025-04-23 15:18:53+00:00,77.5,2.68,2.3,2.4,0.96000004,55.813953,21.0,601,0.2946847875976562,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00080000,2025-04-23 14:12:30+00:00,80.0,1.65,1.4,1.55,0.66999996,68.36734,28.0,1160,0.28784891845703114,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00082500,2025-04-23 16:07:37+00:00,82.5,0.8,0.8,1.2,0.25,45.454544,7.0,1875,0.3100654931640625,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00085000,2025-04-23 14:14:00+00:00,85.0,0.67,0.45,0.55,0.44,191.30434,1.0,2226,0.27686270019531245,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00087500,2025-04-22 14:53:50+00:00,87.5,0.2,0.2,0.3,0.0,0.0,28.0,2552,0.2722240747070312,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00090000,2025-04-22 19:01:28+00:00,90.0,0.15,0.1,0.2,0.050000004,50.000004,20.0,1919,0.282233740234375,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00092500,2025-04-23 13:46:20+00:00,92.5,0.17,0.0,0.2,-1.23,-87.85715,2.0,2043,0.31445998046874996,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00095000,2025-04-23 14:14:00+00:00,95.0,0.1,0.05,0.15,0.05,100.0,1.0,2461,0.327155166015625,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00100000,2025-04-17 17:07:55+00:00,100.0,0.14,0.0,0.5,0.0,0.0,4.0,889,0.48438015625,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00105000,2025-03-24 16:38:47+00:00,105.0,0.08,0.0,0.2,0.0,0.0,56.0,489,0.45508357421875,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620C00110000,2024-11-26 20:44:04+00:00,110.0,0.7,0.0,0.45,0.0,0.0,1.0,154,0.5141650146484374,False,REGULAR,USD,MET,1,2025-06-20,2025-04-23 13:05:14.272068,74.77999877929688
MET250620P00035000,2025-04-08 19:07:30+00:00,35.0,0.49,0.0,0.25,0.0,0.0,18.0,10,0.9062509375,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00037500,2024-12-16 05:14:56+00:00,37.5,0.45,0.0,2.55,0.0,0.0,8.0,16,1.3281283593749997,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00040000,2025-04-09 17:26:05+00:00,40.0,0.4,0.05,0.25,0.0,0.0,15.0,9562,0.7832052929687501,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00042500,2024-12-16 05:14:56+00:00,42.5,0.6,0.0,2.2,0.0,0.0,8.0,14,1.0815475610351561,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00045000,2025-01-14 16:42:35+00:00,45.0,0.3,0.05,2.35,0.0,0.0,13.0,21,1.0166064794921876,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00047500,2025-04-17 18:24:49+00:00,47.5,0.35,0.05,0.75,0.0,0.0,1.0,65,0.70898728515625,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00050000,2025-04-17 15:32:33+00:00,50.0,0.4,0.05,0.75,0.0,0.0,1.0,132,0.641605146484375,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00055000,2025-04-22 19:38:38+00:00,55.0,0.45,0.35,0.5,0.0,0.0,1.0,1015,0.5214891601562499,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00060000,2025-04-22 15:11:08+00:00,60.0,0.8,0.6,0.75,0.0,0.0,1.0,3684,0.4682670361328125,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00062500,2025-04-22 19:08:41+00:00,62.5,1.0,0.85,1.0,0.0,0.0,1.0,422,0.44336494140625,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00065000,2025-04-22 19:41:45+00:00,65.0,1.38,1.2,1.35,0.0,0.0,2.0,2834,0.42139250488281255,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00067500,2025-04-21 15:34:13+00:00,67.5,2.9,1.6,1.8,0.0,0.0,3.0,792,0.39893179199218753,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00070000,2025-04-22 15:00:00+00:00,70.0,3.1,2.2,2.4,0.0,0.0,25.0,1202,0.37793590820312495,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00072500,2025-04-23 15:05:56+00:00,72.5,2.7,3.0,3.2,-1.4999998,-35.71428,1.0,1321,0.35962554443359374,False,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00075000,2025-04-21 15:11:45+00:00,75.0,3.6,4.1,4.3,-2.8000002,-43.750004,14.0,396,0.3491276025390625,True,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00077500,2025-04-21 14:11:20+00:00,77.5,7.8,5.4,5.6,0.0,0.0,5.0,1077,0.3358220715332031,True,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00080000,2025-04-11 15:46:09+00:00,80.0,11.85,6.5,7.3,0.0,0.0,20.0,710,0.33740896972656254,True,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00082500,2025-04-15 14:17:30+00:00,82.5,10.1,9.0,9.3,0.0,0.0,3.0,414,0.3498600170898437,True,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00085000,2025-04-22 17:08:05+00:00,85.0,9.5,10.7,11.6,-3.3999996,-26.356588,5.0,511,0.38184211914062494,True,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00087500,2025-04-02 19:35:17+00:00,87.5,6.9,12.4,14.2,0.0,0.0,34.0,363,0.4419001123046875,True,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00090000,2025-03-28 13:47:29+00:00,90.0,8.8,14.4,16.9,0.0,0.0,5.0,80,0.5109912182617188,True,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00092500,2025-03-28 13:52:57+00:00,92.5,10.9,16.7,19.0,0.0,0.0,1.0,91,0.5051319018554687,True,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00095000,2025-03-25 14:49:09+00:00,95.0,10.8,20.2,21.8,0.0,0.0,5.0,158,0.5839885351562499,True,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250620P00100000,2025-03-28 17:02:40+00:00,100.0,21.1,24.3,26.7,0.0,0.0,1.0,1,0.6467320483398438,True,REGULAR,USD,MET,0,2025-06-20,2025-04-23 13:05:14.274079,74.77999877929688
MET250718C00075000,2025-04-21 18:47:10+00:00,75.0,2.45,4.2,4.5,0.0,0.0,29.0,3055,0.31629101684570304,False,REGULAR,USD,MET,1,2025-07-18,2025-04-23 13:05:14.324185,74.77999877929688
MET250718C00080000,2025-04-23 13:56:57+00:00,80.0,2.7,2.0,2.25,1.32,95.652176,10.0,55,0.29041236938476556,False,REGULAR,USD,MET,1,2025-07-18,2025-04-23 13:05:14.324185,74.77999877929688
MET250718C00090000,2025-04-23 14:01:13+00:00,90.0,0.35,0.3,0.45,0.049999982,16.66666,80.0,1,0.2795482202148437,False,REGULAR,USD,MET,1,2025-07-18,2025-04-23 13:05:14.324185,74.77999877929688
MET250718P00070000,2025-04-17 15:02:19+00:00,70.0,2.19,2.6,3.0,-1.4099998,-39.166664,10.0,20,0.35767243896484374,False,REGULAR,USD,MET,0,2025-07-18,2025-04-23 13:05:14.326190,74.77999877929688
MET250718P00075000,2025-04-22 16:08:08+00:00,75.0,4.5,4.4,4.9,-0.9000001,-16.666668,2.0,22,0.32874206420898433,True,REGULAR,USD,MET,0,2025-07-18,2025-04-23 13:05:14.326190,74.77999877929688
MET250919C00050000,2025-04-04 14:27:35+00:00,50.0,22.45,24.6,27.0,0.0,0.0,1.0,2,0.5065967309570312,True,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00055000,2025-04-10 17:15:02+00:00,55.0,17.4,20.2,21.9,0.0,0.0,2.0,5,0.5268602001953125,True,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00060000,2025-04-08 17:35:18+00:00,60.0,13.0,15.8,17.8,0.0,0.0,1.0,45,0.4929249926757813,True,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00065000,2025-04-09 17:22:05+00:00,65.0,10.2,12.1,12.7,0.0,0.0,1.0,31,0.3765931481933594,True,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00070000,2025-04-21 18:18:59+00:00,70.0,6.04,8.6,9.1,0.0,0.0,1.0,89,0.34802898071289057,True,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00072500,2025-04-22 16:31:05+00:00,72.5,7.7,7.0,7.3,1.3999996,22.222218,1.0,62,0.32398136962890617,True,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00075000,2025-04-23 14:00:26+00:00,75.0,6.6,5.4,5.9,2.1999998,49.999996,22.0,2705,0.3142158422851562,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00077500,2025-04-23 16:14:13+00:00,77.5,4.5,4.5,4.7,1.75,63.636364,64.0,487,0.30664755859375,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00080000,2025-04-23 16:03:34+00:00,80.0,3.5,3.3,3.7,1.5,75.0,120.0,592,0.3011544494628906,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00082500,2025-04-23 14:21:38+00:00,82.5,3.0,2.5,2.8,1.62,117.391304,20.0,1295,0.2924875439453124,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00085000,2025-04-22 19:08:47+00:00,85.0,2.25,1.8,2.15,1.05,87.49999,1.0,362,0.2898020239257812,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00087500,2025-04-22 18:54:03+00:00,87.5,0.9,1.25,1.65,0.0,0.0,27.0,808,0.288947540283203,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00090000,2025-04-17 16:59:55+00:00,90.0,0.6,0.8,2.3,0.0,0.0,1.0,1136,0.3627993408203125,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00092500,2025-04-22 18:40:45+00:00,92.5,0.41,0.55,0.9,0.0,0.0,13.0,1548,0.28357650024414055,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00095000,2025-04-09 17:55:55+00:00,95.0,0.65,0.0,1.75,0.0,0.0,1.0,472,0.37915659912109373,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00100000,2025-04-11 15:06:33+00:00,100.0,0.97,0.2,0.85,0.0,0.0,1.0,260,0.3459538061523437,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00105000,2025-02-24 18:40:30+00:00,105.0,0.45,0.0,0.55,0.0,0.0,2.0,10,0.3481510498046875,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00115000,2025-04-02 16:45:23+00:00,115.0,0.13,0.0,0.3,0.0,0.0,10.0,109,0.36963520996093746,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919C00125000,2025-03-05 20:28:15+00:00,125.0,0.18,0.0,4.8,0.0,0.0,10.0,11,0.6773713903808594,False,REGULAR,USD,MET,1,2025-09-19,2025-04-23 13:05:14.383341,74.77999877929688
MET250919P00040000,2025-04-11 18:59:24+00:00,40.0,0.82,0.2,0.75,0.0,0.0,1.0,165,0.6059609716796877,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00042500,2025-03-10 19:27:44+00:00,42.5,0.6,0.5,1.8,0.0,0.0,,3,0.6865265722656251,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00045000,2025-03-04 18:34:04+00:00,45.0,0.53,0.0,0.0,0.0,0.0,,1,0.12500875,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00047500,2025-04-04 18:57:21+00:00,47.5,1.39,0.45,1.55,0.0,0.0,1.0,10,0.5542036767578126,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00050000,2025-04-07 17:18:10+00:00,50.0,2.28,0.6,1.7,0.0,0.0,2.0,17,0.5246629565429688,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00055000,2025-04-10 18:03:06+00:00,55.0,2.47,1.0,2.3,0.0,0.0,4.0,178,0.5437057348632813,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00060000,2025-04-15 19:20:02+00:00,60.0,2.13,1.8,2.3,0.0,0.0,7.0,461,0.4371394177246094,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00062500,2025-04-21 16:24:44+00:00,62.5,3.2,2.05,2.7,0.0,0.0,2.0,6,0.415044912109375,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00065000,2025-04-21 17:24:29+00:00,65.0,2.86,2.55,2.9,-1.1400001,-28.500002,1.0,3148,0.3753724572753906,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00070000,2025-04-22 18:38:49+00:00,70.0,4.75,4.0,4.3,0.0,0.0,4.0,387,0.34705242797851554,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00072500,2025-04-22 18:42:26+00:00,72.5,5.6,4.7,5.2,0.0,0.0,4.0,564,0.33386896606445315,False,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00075000,2025-04-22 18:36:12+00:00,75.0,5.2,5.8,6.2,-1.6000004,-23.529415,2.0,259,0.3186103295898437,True,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00077500,2025-04-15 16:10:24+00:00,77.5,6.6,7.2,7.6,-1.3000002,-16.455698,1.0,205,0.3161689477539062,True,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00080000,2025-04-15 16:06:07+00:00,80.0,9.4,8.5,9.2,0.0,0.0,15.0,223,0.3163520513916015,True,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00082500,2025-04-03 16:31:13+00:00,82.5,8.0,9.8,10.9,0.0,0.0,1.0,77,0.3142158422851562,True,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00085000,2025-04-03 16:34:03+00:00,85.0,9.6,10.9,12.9,0.0,0.0,1.0,202,0.3223944714355468,True,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00087500,2025-04-09 17:19:21+00:00,87.5,20.4,13.9,15.0,0.0,0.0,5.0,288,0.331061376953125,True,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00090000,2024-12-30 15:01:05+00:00,90.0,11.4,7.6,7.9,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
MET250919P00092500,2025-03-04 14:35:55+00:00,92.5,11.3,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,MET,0,2025-09-19,2025-04-23 13:05:14.385345,74.77999877929688
