contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CCI250516C00085000,2025-03-25 13:47:36+00:00,85.0,16.4,15.8,17.3,0.0,0.0,,26,0.5581098876953126,True,REGULAR,USD,CCI,1,2025-05-16,2025-04-23 13:02:11.245853,101.73999786376953
CCI250516C00090000,2025-04-16 15:51:33+00:00,90.0,13.3,11.1,12.8,0.0,0.0,1.0,2,0.507817421875,True,REGULAR,USD,CCI,1,2025-05-16,2025-04-23 13:02:11.245853,101.73999786376953
CCI250516C00092500,2025-04-16 14:32:26+00:00,92.5,10.5,9.4,9.9,0.0,0.0,1.0,1,0.36939107177734376,True,REGULAR,USD,CCI,1,2025-05-16,2025-04-23 13:02:11.245853,101.73999786376953
CCI250516C00095000,2025-04-22 16:02:26+00:00,95.0,11.16,7.4,8.2,0.0,0.0,2.0,228,0.4035704174804688,True,REGULAR,USD,CCI,1,2025-05-16,2025-04-23 13:02:11.245853,101.73999786376953
CCI250516C00097500,2025-04-22 15:29:18+00:00,97.5,8.63,5.5,5.8,0.0,0.0,4.0,243,0.32813171874999997,True,REGULAR,USD,CCI,1,2025-05-16,2025-04-23 13:02:11.245853,101.73999786376953
CCI250516C00100000,2025-04-23 16:17:44+00:00,100.0,4.0,3.8,4.1,-2.67,-40.029984,8.0,1051,0.31250687499999996,True,REGULAR,USD,CCI,1,2025-05-16,2025-04-23 13:02:11.245853,101.73999786376953
CCI250516C00105000,2025-04-23 16:19:07+00:00,105.0,1.67,1.6,1.8,-1.18,-41.403507,65.0,2150,0.30371790039062496,False,REGULAR,USD,CCI,1,2025-05-16,2025-04-23 13:02:11.245853,101.73999786376953
CCI250516C00110000,2025-04-23 16:18:14+00:00,110.0,0.56,0.5,0.65,-0.69,-55.2,65.0,813,0.30152065673828127,False,REGULAR,USD,CCI,1,2025-05-16,2025-04-23 13:02:11.245853,101.73999786376953
CCI250516C00115000,2025-04-23 13:34:37+00:00,115.0,0.15,0.15,0.35,-0.22999999,-60.52631,21.0,328,0.3442448388671875,False,REGULAR,USD,CCI,1,2025-05-16,2025-04-23 13:02:11.245853,101.73999786376953
CCI250516C00120000,2025-04-21 14:40:14+00:00,120.0,0.2,0.0,0.1,0.0,0.0,8.0,21,0.33789724609375,False,REGULAR,USD,CCI,1,2025-05-16,2025-04-23 13:02:11.245853,101.73999786376953
CCI250516P00070000,2025-04-02 14:41:39+00:00,70.0,0.1,0.0,1.2,0.0,0.0,,2,0.9653323779296875,False,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00075000,2025-04-14 18:55:05+00:00,75.0,0.11,0.0,0.75,0.0,0.0,8.0,4,0.7368190380859375,False,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00080000,2025-04-22 15:59:50+00:00,80.0,0.59,0.0,0.75,0.0,0.0,2.0,14,0.6064492480468751,False,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00085000,2025-04-22 16:01:00+00:00,85.0,0.38,0.0,0.75,0.0,0.0,4.0,39,0.5751995605468749,False,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00087500,2025-04-21 17:53:31+00:00,87.5,0.4,0.1,0.4,0.0,0.0,7.0,8,0.42529871582031253,False,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00090000,2025-04-23 15:15:26+00:00,90.0,0.5,0.45,0.6,0.15,42.857147,102.0,1339,0.4067442138671875,False,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00092500,2025-04-21 19:13:46+00:00,92.5,0.95,0.75,0.9,0.0,0.0,13.0,1239,0.389654541015625,False,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00095000,2025-04-23 15:35:02+00:00,95.0,1.1,0.95,1.25,0.37,50.68493,44.0,906,0.36255520263671875,False,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00097500,2025-04-23 16:03:15+00:00,97.5,1.65,1.75,1.95,0.63,61.764706,22.0,542,0.358404853515625,False,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00100000,2025-04-23 16:26:46+00:00,100.0,2.82,2.55,2.75,1.17,70.90909,83.0,436,0.3398503515625,False,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00105000,2025-04-23 16:27:01+00:00,105.0,5.66,5.2,5.6,2.1599998,61.714283,5.0,1449,0.34717449707031245,True,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00110000,2025-04-23 14:38:57+00:00,110.0,8.03,9.2,9.5,1.1299996,16.376806,13.0,25,0.36890279541015625,True,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00115000,2025-04-22 17:08:11+00:00,115.0,10.76,13.3,14.4,0.0,0.0,4.0,1,0.4689994506835938,True,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00120000,2025-04-14 14:41:55+00:00,120.0,22.07,17.1,20.0,0.0,0.0,,0,0.6626010302734376,True,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00125000,2025-04-22 17:08:11+00:00,125.0,19.87,22.2,25.0,0.0,0.0,2.0,1,0.7612328564453126,True,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250516P00150000,2025-03-21 16:22:05+00:00,150.0,43.4,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,CCI,0,2025-05-16,2025-04-23 13:02:11.247837,101.73999786376953
CCI250620C00055000,2025-03-13 16:02:29+00:00,55.0,39.2,40.1,44.1,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00065000,2024-12-30 14:30:16+00:00,65.0,26.4,22.1,26.5,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00070000,2025-02-27 20:57:41+00:00,70.0,22.3,32.4,36.3,0.0,0.0,1.0,0,0.9436040795898437,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00075000,2025-02-28 20:20:53+00:00,75.0,19.12,30.9,33.7,0.0,0.0,3.0,0,1.1103560107421875,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00077500,2025-03-24 13:32:46+00:00,77.5,28.45,23.2,25.8,0.0,0.0,3.0,3,0.6357458300781251,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00080000,2025-04-16 14:41:55+00:00,80.0,23.0,21.0,22.3,0.0,0.0,1.0,10,0.4445856323242187,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00082500,2025-02-25 16:54:22+00:00,82.5,13.74,20.2,23.9,0.0,0.0,1.0,1,0.6547886083984377,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00085000,2025-03-21 17:38:48+00:00,85.0,23.0,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00087500,2025-04-21 17:02:31+00:00,87.5,15.7,14.5,14.9,0.0,0.0,1.0,389,0.32520206054687495,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00090000,2025-04-21 16:55:06+00:00,90.0,13.7,12.3,12.8,0.0,0.0,2.0,1114,0.3237372314453124,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00092500,2025-04-16 14:34:59+00:00,92.5,11.28,10.4,10.9,0.0,0.0,10.0,294,0.327155166015625,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00095000,2025-04-22 17:59:12+00:00,95.0,10.5,8.5,9.4,0.0,0.0,151.0,668,0.34656415161132803,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00097500,2025-04-21 19:22:06+00:00,97.5,7.72,6.5,7.0,0.4199996,5.7534194,2.0,389,0.2912668530273437,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00100000,2025-04-23 15:37:41+00:00,100.0,5.25,5.0,5.4,-1.75,-25.0,20.0,1597,0.2810130493164062,True,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00105000,2025-04-23 16:25:27+00:00,105.0,2.8,2.85,3.1,-1.6699998,-37.360176,93.0,1565,0.27722890747070306,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00110000,2025-04-23 16:26:52+00:00,110.0,1.35,1.3,1.6,-0.9999999,-42.55319,37.0,3054,0.2732006274414062,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00115000,2025-04-23 16:21:59+00:00,115.0,0.6,0.5,0.65,-0.54999995,-47.826084,10.0,1978,0.25928475097656256,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00120000,2025-04-22 16:08:40+00:00,120.0,0.25,0.0,0.3,-0.25,-50.0,18.0,666,0.2651440673828125,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00125000,2025-04-21 16:55:57+00:00,125.0,0.15,0.0,0.75,0.0,0.0,1.0,209,0.3874572973632812,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00130000,2025-02-25 17:24:31+00:00,130.0,0.25,0.0,2.25,0.0,0.0,6.0,370,0.6036416589355471,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00135000,2025-04-17 13:30:02+00:00,135.0,0.05,0.0,0.75,0.0,0.0,1.0,22,0.4870656762695313,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00140000,2025-03-14 13:59:05+00:00,140.0,0.15,0.0,0.0,0.0,0.0,1.0,84,0.12500875,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00145000,2024-12-10 16:59:39+00:00,145.0,0.38,0.0,1.45,0.0,0.0,1.0,10,0.5705609350585938,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00150000,2024-12-16 05:07:44+00:00,150.0,1.59,0.4,0.6,0.0,0.0,2.0,8,0.5664105859375,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00160000,2025-02-27 17:30:41+00:00,160.0,0.1,0.0,2.15,0.0,0.0,5.0,24,0.7453638745117188,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620C00165000,2024-12-16 05:07:44+00:00,165.0,0.05,0.0,0.75,0.0,0.0,,5,0.637698935546875,False,REGULAR,USD,CCI,1,2025-06-20,2025-04-23 13:02:11.363154,101.73999786376953
CCI250620P00047500,2025-04-11 14:14:32+00:00,47.5,0.15,0.0,0.75,0.0,0.0,4.0,7,1.0332079589843752,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00050000,2025-02-26 17:09:51+00:00,50.0,0.41,0.0,2.15,0.0,0.0,2.0,4,1.205082099609375,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00055000,2024-12-16 05:07:46+00:00,55.0,0.89,0.0,2.7,0.0,0.0,22.0,22,1.1279340478515625,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00060000,2025-04-10 16:29:00+00:00,60.0,0.29,0.0,0.75,0.0,0.0,1.0,23,0.7480493945312501,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00065000,2025-03-03 14:50:35+00:00,65.0,0.4,0.0,0.0,0.0,0.0,1.0,61,0.2500075,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00070000,2025-04-23 14:27:08+00:00,70.0,0.2,0.05,0.75,0.09,81.818184,1.0,269,0.5644574804687501,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00075000,2025-04-03 16:32:25+00:00,75.0,0.15,0.0,0.75,0.0,0.0,3.0,139,0.5507857421875001,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00077500,2025-04-09 17:21:52+00:00,77.5,1.35,0.0,0.75,0.0,0.0,2.0,59,0.5034229345703125,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00080000,2025-04-23 16:00:49+00:00,80.0,0.28,0.15,0.6,-0.32000002,-53.333336,18.0,234,0.43164630859375,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00082500,2025-04-23 15:43:32+00:00,82.5,0.45,0.35,0.55,0.030000001,7.1428576,4.0,196,0.3794007373046875,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00085000,2025-04-22 16:04:50+00:00,85.0,0.48,0.55,0.8,0.0,0.0,5.0,333,0.3737855590820312,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00087500,2025-04-17 15:34:54+00:00,87.5,1.05,0.8,1.05,0.0,0.0,1.0,318,0.358404853515625,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00090000,2025-04-23 15:35:36+00:00,90.0,1.2,1.15,1.4,-0.19999993,-14.285709,1.0,430,0.3459538061523437,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00092500,2025-04-22 15:22:45+00:00,92.5,1.7,1.5,1.9,0.5,41.666664,1.0,255,0.33765310791015624,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00095000,2025-04-23 16:22:24+00:00,95.0,2.4,2.25,2.55,0.71000004,42.011833,12.0,482,0.3305731005859375,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00097500,2025-04-23 15:13:30+00:00,97.5,2.95,3.2,3.5,0.70000005,31.111115,6.0,464,0.3327703442382813,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00100000,2025-04-23 16:24:14+00:00,100.0,4.3,4.0,4.4,1.3000002,43.33334,13.0,987,0.3200751586914062,False,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00105000,2025-04-23 14:06:18+00:00,105.0,6.5,6.7,7.1,1.3000002,25.000004,2.0,645,0.31653515502929686,True,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00110000,2025-04-21 17:07:12+00:00,110.0,10.03,9.8,11.0,0.0,0.0,6.0,220,0.34754070434570306,True,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00115000,2025-04-15 17:58:24+00:00,115.0,15.0,14.3,15.0,0.0,0.0,3.0,156,0.3534000207519531,True,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00120000,2025-04-07 14:46:07+00:00,120.0,21.7,18.1,20.5,0.0,0.0,2.0,10,0.4664359997558594,True,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00125000,2025-04-14 14:44:10+00:00,125.0,27.04,23.4,25.5,0.0,0.0,23.0,90,0.5319871020507813,True,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00130000,2025-04-14 14:44:10+00:00,130.0,31.86,28.3,30.2,0.0,0.0,23.0,53,0.563602996826172,True,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00135000,2024-12-16 05:07:46+00:00,135.0,26.1,29.0,32.9,0.0,0.0,1.0,9,1.0000000000000003e-05,True,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00140000,2024-12-16 05:07:46+00:00,140.0,30.1,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250620P00145000,2024-12-16 05:07:46+00:00,145.0,32.3,37.4,41.2,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,CCI,0,2025-06-20,2025-04-23 13:02:11.365166,101.73999786376953
CCI250718C00070000,2025-04-02 17:22:35+00:00,70.0,34.5,30.8,32.7,0.0,0.0,2.0,0,0.5844768115234374,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00075000,2025-04-02 17:22:52+00:00,75.0,29.6,25.8,27.7,0.0,0.0,,1,0.4985401708984375,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00077500,2025-03-24 13:42:43+00:00,77.5,29.8,23.7,25.3,0.0,0.0,6.0,0,0.4689994506835938,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00080000,2025-04-15 19:59:51+00:00,80.0,22.0,20.7,22.8,0.0,0.0,2.0,7,0.4274959594726563,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00085000,2025-04-04 18:16:33+00:00,85.0,19.35,16.2,18.3,0.0,0.0,5.0,7,0.3918517846679687,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00087500,2025-04-23 15:15:13+00:00,87.5,15.6,14.2,15.3,5.9000006,60.82475,2.0,125,0.3064034204101562,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00090000,2025-04-09 15:27:11+00:00,90.0,8.6,12.0,13.9,0.0,0.0,5.0,36,0.3490055334472656,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00092500,2025-04-09 15:12:04+00:00,92.5,7.0,10.9,11.7,0.0,0.0,1.0,30,0.3220282641601562,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00095000,2025-04-17 13:38:09+00:00,95.0,10.55,9.1,9.9,0.0,0.0,3.0,130,0.3145820495605468,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00097500,2025-04-16 18:15:16+00:00,97.5,8.4,7.4,8.4,0.0,0.0,10.0,109,0.31580274047851553,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00100000,2025-04-23 14:37:53+00:00,100.0,6.77,5.9,6.4,-1.3300004,-16.419758,1.0,457,0.28284408569335934,True,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00105000,2025-04-22 16:21:52+00:00,105.0,3.7,3.7,3.9,-1.6699998,-31.098694,4.0,571,0.2695385546875,False,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00110000,2025-04-22 19:12:00+00:00,110.0,2.0,1.95,2.15,-1.0,-33.333332,11.0,1016,0.2585523364257813,False,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00115000,2025-04-22 19:43:31+00:00,115.0,1.1,1.0,1.15,-0.65,-37.142857,1.0,844,0.2561109545898438,False,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00120000,2025-04-22 19:29:49+00:00,120.0,0.9,0.45,0.55,0.0,0.0,21.0,115,0.2514723291015625,False,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00125000,2025-04-22 13:50:09+00:00,125.0,0.38,0.05,0.4,0.0,0.0,2.0,13,0.27466545654296876,False,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00130000,2025-02-18 20:46:55+00:00,130.0,0.2,0.4,1.95,0.0,0.0,4.0,4,0.47400428344726564,False,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00135000,2025-01-27 15:14:11+00:00,135.0,0.84,0.0,1.05,0.0,0.0,2.0,3,0.43579665771484377,False,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718C00140000,2025-02-27 20:02:05+00:00,140.0,0.06,0.0,2.25,0.0,0.0,,1,0.5870402624511719,False,REGULAR,USD,CCI,1,2025-07-18,2025-04-23 13:02:11.454373,101.73999786376953
CCI250718P00047500,2025-02-27 19:12:59+00:00,47.5,0.15,0.0,2.15,0.0,0.0,,2,1.0537156689453124,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00055000,2025-01-03 19:30:46+00:00,55.0,0.5,0.0,0.0,0.0,0.0,1.0,1,0.2500075,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00060000,2024-12-30 15:45:53+00:00,60.0,0.46,0.0,2.45,0.0,0.0,,1,0.79883013671875,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00065000,2025-01-23 14:30:03+00:00,65.0,0.5,0.1,1.65,0.0,0.0,1.0,11,0.6420934228515626,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00070000,2025-03-24 15:16:31+00:00,70.0,0.3,0.0,0.75,0.0,0.0,1.0,11,0.534184345703125,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00075000,2025-04-09 17:21:47+00:00,75.0,1.65,0.0,0.75,0.0,0.0,1.0,60,0.45361874511718747,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00077500,2025-04-09 17:21:47+00:00,77.5,2.0,0.0,1.75,0.0,0.0,1.0,33,0.5312546875,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00080000,2025-04-07 14:02:53+00:00,80.0,1.8,0.4,1.35,0.0,0.0,1.0,45,0.44653873779296877,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00082500,2025-04-09 15:17:46+00:00,82.5,3.6,0.6,1.0,0.0,0.0,17.0,69,0.36829244995117194,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00085000,2025-04-23 15:13:53+00:00,85.0,1.05,0.6,1.2,-0.30000007,-22.222227,1.0,272,0.3491276025390625,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00087500,2025-04-23 16:26:49+00:00,87.5,1.4,1.2,1.5,0.25,21.73913,31.0,105,0.3347234497070312,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00090000,2025-04-23 16:25:03+00:00,90.0,1.8,1.75,2.0,0.5,38.46154,34.0,1109,0.3298406860351562,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00092500,2025-04-22 18:30:17+00:00,92.5,1.9,2.35,2.7,0.0,0.0,3.0,104,0.33008482421874996,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00095000,2025-04-23 15:58:03+00:00,95.0,3.0,2.9,3.6,0.6500001,27.659578,51.0,156,0.3332586206054688,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00097500,2025-04-23 15:35:07+00:00,97.5,3.9,4.1,5.7,0.9200001,30.872486,20.0,163,0.3918517846679687,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00100000,2025-04-23 15:40:18+00:00,100.0,4.8,5.0,5.4,1.1000001,29.729734,4.0,81,0.3150703259277343,False,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00105000,2025-04-23 13:57:14+00:00,105.0,6.51,7.5,8.1,0.5100002,8.500004,1.0,80,0.31189652954101554,True,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00110000,2025-04-22 14:40:49+00:00,110.0,9.1,10.9,11.2,0.0,0.0,1.0,15,0.29761444580078117,True,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00115000,2025-02-20 17:57:13+00:00,115.0,25.7,9.9,12.9,0.0,0.0,5.0,6,1.0000000000000003e-05,True,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00120000,2025-03-31 13:41:41+00:00,120.0,16.4,18.6,20.4,0.0,0.0,400.0,404,0.37720349365234374,True,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00125000,2025-03-24 15:09:22+00:00,125.0,20.3,23.1,25.5,0.0,0.0,,1,0.4382380395507813,True,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250718P00130000,2025-01-29 18:00:23+00:00,130.0,42.0,36.5,39.2,0.0,0.0,,6,0.9272468212890624,True,REGULAR,USD,CCI,0,2025-07-18,2025-04-23 13:02:11.456378,101.73999786376953
CCI250919C00060000,2025-03-25 19:38:02+00:00,60.0,40.9,39.9,42.6,0.0,0.0,,1,0.5744671459960937,True,REGULAR,USD,CCI,1,2025-09-19,2025-04-23 13:02:11.551629,101.73999786376953
CCI250919C00070000,2025-04-22 18:03:18+00:00,70.0,34.1,30.8,32.7,0.0,0.0,2.0,12,0.44507390869140623,True,REGULAR,USD,CCI,1,2025-09-19,2025-04-23 13:02:11.551629,101.73999786376953
