contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
MO250425C00030000,2025-04-16 18:07:13+00:00,30.0,27.8,28.0,28.25,0.0,0.0,40.0,29,3.1875020312499998,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00035000,2025-03-24 18:55:03+00:00,35.0,22.7,22.95,23.1,0.0,0.0,285.0,0,2.2500043749999996,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00040000,2025-03-24 18:56:24+00:00,40.0,17.65,17.95,18.1,0.0,0.0,215.0,0,1.71875140625,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00044000,2025-03-24 18:38:38+00:00,44.0,13.55,14.0,14.2,0.0,0.0,10.0,0,1.3125034374999998,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00045000,2025-04-04 14:49:55+00:00,45.0,13.0,13.05,13.4,0.0,0.0,6.0,1,1.6679704101562502,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00046000,2025-04-23 13:49:34+00:00,46.0,12.55,12.0,12.4,1.3000002,11.555557,3.0,89,1.4921900390624998,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00047000,2025-04-22 15:07:14+00:00,47.0,11.55,10.95,11.1,0.0,0.0,16.0,9,1.0312548437500002,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00048000,2025-03-19 14:08:25+00:00,48.0,9.92,10.1,10.4,0.0,0.0,,0,1.3574250878906249,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00049000,2025-03-24 18:41:38+00:00,49.0,8.6,9.05,9.15,0.0,0.0,15.0,0,0.851563984375,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00050000,2025-04-21 18:09:43+00:00,50.0,7.15,8.0,8.2,0.0,0.0,1.0,34,0.7656273437500001,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00051000,2025-04-01 18:32:15+00:00,51.0,7.95,6.85,7.3,0.0,0.0,1.0,1,1.0703171484375003,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00052000,2025-04-07 17:00:11+00:00,52.0,4.2,6.0,6.2,0.0,0.0,1.0,20,0.585941640625,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00053000,2025-04-21 14:27:01+00:00,53.0,5.3,5.0,5.2,0.0,0.0,6.0,9,0.500005,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00054000,2025-04-22 16:00:37+00:00,54.0,4.9,2.98,5.5,0.0,0.0,5.0,171,0.6367223828125,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00055000,2025-04-22 19:23:41+00:00,55.0,3.85,2.95,4.4,0.0,0.0,8.0,29,0.8378922460937499,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00056000,2025-04-23 16:21:48+00:00,56.0,2.14,2.1,2.35,-0.56999993,-21.033207,53.0,597,0.47363807617187503,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00057000,2025-04-23 14:54:29+00:00,57.0,1.39,1.21,1.44,-0.7099999,-33.80952,54.0,714,0.37695935546875,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00058000,2025-04-23 16:27:31+00:00,58.0,0.5,0.48,0.59,-0.58000004,-53.703705,318.0,3031,0.2617261328125,True,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00059000,2025-04-23 16:27:14+00:00,59.0,0.14,0.11,0.18,-0.38,-73.07693,281.0,2760,0.243171630859375,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00060000,2025-04-23 16:23:27+00:00,60.0,0.05,0.03,0.05,-0.120000005,-70.588234,3348.0,2710,0.25586681640625003,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00061000,2025-04-23 16:05:17+00:00,61.0,0.01,0.0,0.01,-0.04,-80.00001,943.0,4847,0.257819921875,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00062000,2025-04-22 19:58:37+00:00,62.0,0.03,0.0,0.01,0.01,50.0,10.0,119,0.335944140625,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00063000,2025-04-23 14:17:30+00:00,63.0,0.01,0.0,0.01,0.0,0.0,12.0,82,0.4062559375,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00064000,2025-04-14 19:44:57+00:00,64.0,0.02,0.0,0.01,0.0,0.0,1.0,217,0.4687553125,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00065000,2025-04-08 16:01:22+00:00,65.0,0.04,0.0,0.01,0.0,0.0,2.0,5,0.500005,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00066000,2025-04-09 17:54:11+00:00,66.0,0.05,0.0,0.01,0.0,0.0,6.0,17,0.5468795312500001,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00067000,2025-04-01 16:49:19+00:00,67.0,0.11,0.0,0.01,0.0,0.0,,1,0.5937540625000001,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00068000,2025-04-07 17:51:43+00:00,68.0,0.12,0.0,0.01,0.0,0.0,5.0,6,0.6562534375000001,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00069000,2025-04-09 17:53:47+00:00,69.0,0.01,0.0,0.01,0.0,0.0,7.0,16,0.7187528125,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425C00070000,2025-04-14 18:12:33+00:00,70.0,0.02,0.0,0.01,0.0,0.0,1.0,9,0.7812521875,False,REGULAR,USD,MO,1,2025-04-25,2025-04-23 13:00:17.186371,58.08000183105469
MO250425P00040000,2025-04-08 14:00:40+00:00,40.0,0.01,0.0,0.01,0.0,0.0,,1,1.46875265625,False,REGULAR,USD,MO,0,2025-04-25,2025-04-23 13:00:17.188382,58.08000183105469
MO250425P00044000,2025-03-21 16:01:16+00:00,44.0,0.02,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,MO,0,2025-04-25,2025-04-23 13:00:17.188382,58.08000183105469
MO250425P00045000,2025-04-02 16:37:41+00:00,45.0,0.02,0.0,0.01,0.0,0.0,,0,1.0312548437500002,False,REGULAR,USD,MO,0,2025-04-25,2025-04-23 13:00:17.188382,58.08000183105469
MO250425P00046000,2025-04-16 17:58:18+00:00,46.0,0.01,0.0,0.01,0.0,0.0,6.0,7,0.937500625,False,REGULAR,USD,MO,0,2025-04-25,2025-04-23 13:00:17.188382,58.08000183105469
MO250425P00047000,2025-04-16 17:31:55+00:00,47.0,0.01,0.0,0.01,0.0,0.0,4.0,7,0.87500125,False,REGULAR,USD,MO,0,2025-04-25,2025-04-23 13:00:17.188382,58.08000183105469
MO250425P00047500,2025-04-16 16:07:05+00:00,47.5,0.01,0.0,0.01,0.0,0.0,4.0,4,0.8437515624999999,False,REGULAR,USD,MO,0,2025-04-25,2025-04-23 13:00:17.188382,58.08000183105469
